Ad group,Keyword,Status,Max. CPC,Impressions,Avg. position,Clicks,CTR,Avg. CPC,Match type,Cost,Conversions,Cost / conv.,Conv. rate,Search Impr. share,Search Lost IS (rank),Quality score
Clinic,+indiana +clinic,eligible,6.00,364,1.5,6,1.65%,3.44,Broad,20.62,1.0,20.62,16.67%,44.88%,40.94%,5
Symptom Checker,+symptoms +diagnosis,eligible,6.00,62,1.2,8,12.90%,1.10,Broad,8.77,0.0,0.00,0.00%,74.70%,8.43%,6
Surgeon,indianapolis +neurosurgeons,eligible,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Surgeon,+neurosurgery +indianapolis,eligible,4.00,4,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,80.00%,20.00%,5
Hospital,+hospital +indianapolis +in,eligible,6.00,59,1.2,1,1.69%,0.97,Broad,0.97,1.0,0.97,100.00%,80.82%,19.18%,5
Rankings,+doctor +reviews +indianapolis,eligible,6.00,20,1.9,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,23.81%,0.00%,5
Clinic,+clinic +indiana,eligible,6.00,331,1.5,9,2.72%,2.36,Broad,21.20,4.0,5.30,44.44%,48.25%,49.56%,--
Clinical Trials,+artificial +pancreas +trial,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Nutrition,+custom +nutrition +plans,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Symptom Checker,+check +my +symptoms +online,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+laparoscopic +hysterectomy,low quality score,6.00,23,1.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,19.17%,15.00%,1
Nutrition,+nutrition +chart,eligible,6.00,12,1.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,33.33%,2.78%,4
Nutrition,+personal +nutritionists,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+medical +outpatient +clinic +near +me,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Minimally Invasive Surgery,+surgeons +minimally +invasive +indianapolis +in,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+highly +rated +doctors,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+health +outpatient +clinics +indianapolis,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+cdc +smoking +cessation,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+outpatient +clinics +indiana,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+smoking +cessation +resources,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+how +doctor +can +help +you +quit +smoking,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Surgeon,+neurosurgeons +indianapolis,eligible,4.00,11,1.1,1,9.09%,1.02,Broad,1.02,1.0,1.02,100.00%,100.00%,0.00%,6
Surgeon,+surgery +centers +indianapolis +in,eligible,4.00,32,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,71.11%,8.89%,--
Pharmacy Clinics,+retail +pharmacy +indiana,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Smoking,+quitting +smoking +patch,eligible,6.00,1,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,20.00%,40.00%,--
Outpatient Clinics,+health +outpatient +clinic +indianapolis,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+benefits +after +quitting +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Clinic,+health +clinic +near +me,eligible,6.00,13,2.2,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,4
Minimally Invasive Surgery,+laparoscopic +hernia +repair,below first page bid (First page cpc : 7.08),6.00,3,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,75.00%,25.00%,5
Smoking,+facts +about +smoking +cigarettes,low quality score,6.00,2,3.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,1
Davinci Surgery,+da +vinci +hysterectomy,eligible,6.00,27,1.5,1,3.70%,2.78,Broad,2.78,0.0,0.00,0.00%,50.00%,7.41%,3
Davinci Surgery,+da +vinci +surgery +system,eligible,6.00,9,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,81.82%,18.18%,7
Clinic,+clinic +near +me,eligible,6.00,262,2.0,17,6.49%,3.02,Broad,51.32,1.0,51.32,5.88%,77.06%,22.06%,3
Surgeon,+indiana +surgeons,eligible,6.50,211,1.5,13,6.16%,2.10,Broad,27.35,17.0,1.61,130.77%,79.03%,3.75%,10
Clinic,+medical +clinic +near +me,eligible,6.00,28,1.8,2,7.14%,2.11,Broad,4.22,0.0,0.00,0.00%,96.55%,3.45%,4
Rankings,+top +rated +hospitals,eligible,6.00,3,1.7,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Pharmacy Clinics,+pharmacy +clinics,below first page bid (First page cpc : 9.01),6.00,9,1.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,23.68%,21.05%,5
Rankings,+physician +reviews,eligible,6.00,27,1.7,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,30.34%,4.49%,3
Davinci Surgery,+the +davinci +robot,below first page bid (First page cpc : 6.28),6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,--
Symptom Checker,+symptoms,eligible,5.50,51276,1.4,3165,6.17%,2.12,Broad,"6,715.83",27.0,248.73,0.85%,78.76%,18.59%,3
Smoking,+tobacco +cessation +programs,eligible,6.00,3,1.7,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Symptom Checker,+diagnose +me,eligible,6.00,92,1.0,8,8.70%,0.91,Broad,7.26,0.0,0.00,0.00%,86.79%,1.89%,5
Surgeon,+surgeons +indianapolis,eligible,4.00,82,1.6,7,8.54%,2.09,Broad,14.60,7.0,2.09,100.00%,95.35%,3.49%,5
Minimally Invasive Surgery,+hiatus +hernia,eligible,6.00,90,1.7,1,1.11%,1.10,Broad,1.10,0.0,0.00,0.00%,65.69%,29.93%,3
Hospital,+hospitals +in +indianapolis +indiana,below first page bid (First page cpc : 7.45),6.00,4,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,40.00%,0.00%,5
Surgeon,+cardiac +surgeon,low quality score,6.50,203,1.6,1,0.49%,5.73,Broad,5.73,1.0,5.73,100.00%,63.64%,21.00%,1
Rankings,+top +ranked +hospital +in +indiana,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Surgeon,+surgeons +indiana,eligible,7.00,230,1.5,18,7.83%,1.86,Broad,33.53,18.0,1.86,100.00%,95.83%,4.17%,7
Smoking,+stop +smoking,eligible,6.00,245,3.6,4,1.63%,4.80,Broad,19.22,3.0,6.41,75.00%,34.65%,42.29%,7
Minimally Invasive Surgery,+minimally +invasive +surgeons,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Smoking,+quitting +smoking +effects,eligible,6.00,2,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,50.00%,8
Rankings,+best +family +doctors +indianapolis,eligible,6.00,1,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Smoking,+stop +smoking +side +effects,eligible,6.00,2,4.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,25.00%,5
